IDCandidato,Nota_LP,Nota_ML,Nota_ESP,Media_Final
19144505,58.18,71.54,76.79,68.84
19126066,85.10,77.20,42.92,68.41
19111283,58.48,100.00,44.95,67.81
19144466,91.65,51.66,44.26,62.52
19112646,58.18,77.05,47.55,60.93
19130958,73.26,58.79,39.49,57.18
19138838,71.06,58.79,40.38,56.74
19124379,64.80,49.83,40.57,51.73
19137905,70.75,36.04,47.97,51.59
19104648,66.64,37.67,44.65,49.65
19115235,48.58,36.14,57.25,47.32
19138058,51.19,56.35,34.26,47.27
19115676,82.74,30.42,28.34,47.17
19130754,46.07,77.69,15.82,46.53
19131696,43.28,32.25,59.91,45.15
19134510,43.00,30.42,61.86,45.09
19126653,56.72,39.82,36.42,44.32
19129841,37.71,62.58,28.24,42.84
19113595,45.67,34.76,46.79,42.41
19143592,52.81,42.70,31.09,42.20
19133374,58.52,50.06,16.61,41.73
19103779,60.97,15.19,46.30,40.82
19134400,43.00,33.52,44.37,40.29
19136610,40.24,34.60,43.51,39.45
19114211,49.71,48.59,19.54,39.28
19130389,71.93,29.62,15.82,39.12
19120813,72.10,22.80,22.13,39.01
19110989,50.87,13.94,51.25,38.69
19109827,42.10,39.98,33.40,38.49
19136763,50.28,12.19,52.88,38.45
19138144,51.30,32.07,31.84,38.41
19134087,49.09,38.18,26.32,37.87
19141245,57.32,22.39,33.57,37.76
19127863,64.76,20.97,26.62,37.45
19111360,45.59,37.31,28.05,36.98
19129577,49.29,34.35,26.59,36.74
19143959,28.64,48.35,32.70,36.56
19116313,42.25,49.18,15.07,35.50
19133701,42.85,27.38,35.44,35.22
19109587,39.92,28.62,37.12,35.22
19141021,68.84,8.22,28.23,35.09
19134827,47.49,22.16,35.58,35.08
19131350,70.47,23.29,11.35,35.04
19137531,48.26,33.52,22.05,34.61
19121470,52.81,8.22,41.58,34.20
19140522,27.06,39.49,35.85,34.13
19122074,29.68,46.08,26.31,34.02
19126736,69.43,25.55,7.08,34.02
19114782,51.30,28.53,22.13,33.99
19107648,17.26,47.43,36.00,33.56
19114949,58.64,30.86,10.79,33.43
19117587,45.48,54.46,0.00,33.31
19132357,56.27,24.31,19.30,33.29
19123202,48.50,13.43,37.86,33.26
19124950,53.63,19.25,26.51,33.13
19138125,51.74,31.17,15.82,32.91
19116385,93.44,4.99,0.00,32.81
19115377,33.92,28.10,36.38,32.80
19142422,40.23,30.18,27.48,32.63
19103619,72.82,15.35,9.71,32.63
19143436,22.66,30.42,44.28,32.45
19124269,53.95,17.43,25.75,32.38
19132696,49.41,18.42,29.13,32.32
19124641,44.27,23.29,29.10,32.22
19140978,81.11,3.23,11.35,31.90
19137912,31.01,43.17,19.54,31.24
19113769,38.60,21.96,32.72,31.09
19133689,53.05,10.36,28.23,30.55
19134444,51.30,21.07,19.21,30.53
19124163,45.61,45.68,0.00,30.43
19130699,52.49,10.20,28.34,30.34
19105292,56.88,15.35,18.33,30.19
19143779,63.59,26.94,0.00,30.18
19132493,35.93,36.23,18.33,30.16
19126366,49.09,28.53,12.52,30.05
19104470,44.46,37.99,6.79,29.75
19126673,56.73,21.71,10.79,29.75
19121538,28.67,36.59,23.58,29.61
19127725,51.76,27.26,9.71,29.58
19139342,28.36,19.41,40.38,29.38
19142262,31.89,13.28,42.11,29.09
19135490,30.57,28.10,28.23,28.97
19117212,29.68,18.27,38.27,28.74
19114929,42.68,20.97,21.26,28.30
19130422,17.58,28.35,38.74,28.22
19111670,14.90,30.61,38.65,28.05
19100273,22.66,27.38,33.87,27.97
19141285,32.29,25.30,26.31,27.97
19120820,26.86,23.48,32.54,27.63
19134966,23.70,3.23,55.74,27.56
19136448,33.80,33.33,15.07,27.40
19104278,49.55,21.65,10.79,27.33
19115371,45.61,25.55,10.79,27.32
19129911,37.84,21.32,21.75,26.97
19141745,45.35,28.21,7.08,26.88
19138781,11.99,28.78,39.78,26.85
19132767,31.89,30.18,18.14,26.74
19119268,24.45,18.42,37.30,26.72
19126867,45.05,7.13,27.96,26.71
19142813,35.93,12.44,31.46,26.61
19129961,27.35,24.94,27.48,26.59
19130620,28.36,13.28,37.86,26.50
19100559,28.36,39.74,11.35,26.48
19117834,6.44,13.43,59.13,26.33
19117794,33.34,23.29,22.13,26.25
19136568,27.66,19.01,32.05,26.24
19122176,28.36,28.46,21.37,26.07
19134180,36.56,22.31,19.23,26.04
19143108,41.94,26.19,9.82,25.98
19140892,27.47,29.52,20.88,25.96
19136109,20.62,25.55,31.57,25.91
19116648,40.24,22.39,15.07,25.90
19120493,44.46,20.97,12.23,25.89
19136045,52.23,25.39,0.00,25.87
19138265,36.71,28.10,12.42,25.74
19118389,46.19,8.22,22.24,25.55
19140584,45.16,27.18,4.27,25.54
19113830,48.52,18.17,9.82,25.51
19138441,23.25,8.22,44.85,25.44
19130062,50.17,13.43,12.23,25.28
19142478,45.16,13.43,16.90,25.17
19145186,26.86,25.55,23.02,25.14
19123323,55.57,3.23,15.82,24.87
19127249,21.80,45.35,7.08,24.74
19139883,29.53,10.20,34.27,24.67
19143992,42.14,8.22,22.61,24.32
19110923,32.47,16.34,24.07,24.29
19112159,30.58,19.57,22.14,24.10
19100031,31.01,36.68,4.27,23.99
19107071,51.91,0.00,19.30,23.74
19137349,52.93,12.44,5.44,23.60
19116517,42.25,10.05,18.33,23.54
19139718,41.82,28.53,0.00,23.45
19107497,41.36,12.19,16.23,23.26
19116204,21.34,30.53,17.86,23.24
19110716,33.92,20.56,15.07,23.18
19137290,18.01,36.15,15.26,23.14
19144627,38.02,21.65,9.71,23.13
19118254,21.51,15.98,31.86,23.12
19105904,8.02,44.52,16.50,23.02
19123212,14.59,36.59,17.87,23.01
19142939,35.26,22.49,11.06,22.94
19104216,36.01,22.95,9.71,22.89
19138884,33.62,7.13,27.67,22.80
19124501,17.26,21.71,29.40,22.79
19137933,43.00,18.42,6.79,22.73
19102971,41.82,16.34,9.71,22.63
19118306,36.56,20.25,11.06,22.62
19133073,27.03,8.96,31.84,22.61
19103586,40.36,12.19,15.07,22.54
19114088,6.44,41.37,19.50,22.44
19141886,37.56,12.75,16.88,22.40
19109019,21.03,23.40,22.61,22.35
19142717,22.81,12.11,31.75,22.23
19122071,42.06,4.99,19.50,22.18
19137854,28.36,16.34,21.15,21.95
19137481,35.21,15.35,15.26,21.94
19116409,33.80,8.22,23.77,21.93
19127973,14.90,28.46,22.14,21.84
19106623,36.41,17.43,11.55,21.80
19138687,21.03,38.73,5.44,21.73
19109911,17.68,30.10,16.69,21.49
19133033,31.00,19.01,14.10,21.37
19142711,35.20,10.36,18.33,21.30
19110172,25.27,10.05,28.43,21.25
19104920,21.03,8.22,34.47,21.24
19142455,30.69,16.09,16.90,21.23
19111310,29.25,15.98,18.33,21.19
19144159,34.22,13.43,15.82,21.16
19121485,0.00,19.25,44.19,21.15
19115440,11.99,13.43,37.76,21.06
19116874,6.56,15.03,41.52,21.04
19110979,22.81,10.36,29.06,20.74
19126057,35.26,7.13,19.54,20.64
19128504,24.14,19.01,18.63,20.59
19110044,17.26,21.65,22.32,20.41
19101211,46.07,8.22,6.79,20.36
19119938,0.00,36.15,24.78,20.31
19123455,11.99,37.42,11.06,20.16
19102272,6.44,26.39,27.48,20.10
19136514,35.38,8.22,16.61,20.07
19142188,12.27,0.00,47.80,20.03
19106279,29.37,15.35,15.26,19.99
19141946,37.71,22.24,0.00,19.98
19137828,31.12,8.22,20.51,19.95
19140506,43.15,4.99,11.55,19.89
19106229,40.49,3.23,15.82,19.85
19126313,11.99,8.22,39.23,19.81
19126349,0.00,35.59,23.77,19.79
19144664,29.37,8.22,21.26,19.62
19129208,28.49,26.03,4.27,19.60
19108666,22.93,23.29,12.52,19.58
19111975,34.51,17.18,6.79,19.49
19141524,33.02,3.23,22.14,19.46
19118329,42.85,8.22,7.08,19.38
19105472,24.02,21.65,12.42,19.36
19121599,0.00,12.75,45.29,19.35
19115556,26.92,18.42,12.52,19.28
19117789,0.00,41.06,16.69,19.25
19115488,14.91,26.39,16.23,19.18
19134263,26.58,20.97,9.71,19.09
19104092,35.81,10.05,11.35,19.07
19114999,38.60,7.13,11.35,19.03
19106543,29.85,17.43,9.71,19.00
19144425,9.23,25.39,22.32,18.98
19126099,16.22,15.19,25.41,18.94
19126127,31.28,18.30,7.08,18.89
19126047,29.53,16.34,10.79,18.89
19123917,35.24,10.36,10.79,18.80
19119287,29.53,15.35,11.35,18.74
19110649,33.62,18.30,4.27,18.73
19115967,16.22,12.44,27.48,18.71
19139681,31.89,10.36,13.86,18.71
19137883,14.46,19.16,22.14,18.59
19123199,27.35,18.30,9.82,18.49
19130132,19.01,36.34,0.00,18.45
19107227,31.28,7.13,16.69,18.37
19117556,12.27,19.01,23.77,18.35
19131427,13.00,20.97,20.88,18.29
19134453,51.30,3.23,0.00,18.18
19127130,44.15,10.36,0.00,18.17
19138759,0.00,31.70,22.61,18.10
19107258,33.50,15.35,5.44,18.10
19124401,27.66,26.54,0.00,18.07
19110901,17.26,20.25,16.69,18.07
19126921,29.37,0.00,24.67,18.01
19130935,27.48,21.40,4.27,17.72
19102341,29.37,19.16,4.27,17.60
19100241,44.58,8.22,0.00,17.60
19110859,0.00,18.42,34.27,17.56
19108717,44.46,8.22,0.00,17.56
19109448,0.00,15.07,37.31,17.46
19135620,42.96,9.21,0.00,17.39
19133812,17.68,10.36,23.96,17.33
19123458,37.56,3.23,11.06,17.29
19126894,35.52,4.99,11.06,17.19
19126299,31.12,0.00,20.40,17.17
19119833,33.74,0.00,17.58,17.10
19144178,9.23,10.05,31.97,17.08
19120978,21.03,10.36,19.30,16.90
19115443,26.03,19.16,5.44,16.88
19127713,24.25,20.41,5.44,16.70
19117762,27.18,4.99,17.86,16.67
19143665,14.91,34.07,0.00,16.33
19139021,32.04,0.00,16.50,16.18
19118962,25.27,12.44,10.79,16.17
19100427,16.22,18.42,13.86,16.17
19132782,18.71,25.43,4.27,16.14
19123049,25.57,3.23,19.54,16.11
19124699,21.46,9.21,17.58,16.08
19118977,33.33,3.23,11.55,16.04
19127574,14.59,3.23,30.29,16.04
19123661,14.46,18.42,15.07,15.98
19122193,20.30,20.05,7.08,15.81
19124618,9.23,23.99,14.10,15.77
19142540,18.55,0.00,28.43,15.66
19132485,8.35,19.41,19.21,15.65
19134331,12.27,7.13,27.29,15.56
19117980,20.34,12.19,13.86,15.47
19114067,23.70,22.49,0.00,15.40
19107911,36.72,3.23,5.44,15.13
19140643,8.02,30.08,6.79,14.96
19101309,6.44,10.20,28.24,14.96
19114877,15.67,18.17,10.79,14.88
19133549,22.66,12.19,9.71,14.86
19134961,22.23,8.96,12.52,14.57
19136999,9.23,12.44,21.85,14.51
19121189,19.13,9.21,15.07,14.47
19103058,26.58,0.00,16.79,14.46
19117635,26.03,17.18,0.00,14.40
19134627,15.79,3.23,23.96,14.33
19114956,6.56,36.23,0.00,14.26
19101713,16.37,15.35,11.06,14.26
19107446,30.26,0.00,12.52,14.26
19101910,6.56,3.23,32.82,14.21
19132248,0.00,3.23,38.48,13.90
19112209,24.02,4.99,12.42,13.81
19119677,19.13,7.13,15.07,13.77
19123772,24.25,10.05,6.79,13.69
19110694,20.91,4.99,15.07,13.66
19102129,33.33,3.23,4.27,13.61
19142783,9.66,15.35,15.07,13.36
19125869,11.99,10.05,17.86,13.30
19106552,26.03,13.43,0.00,13.15
19141905,31.00,8.22,0.00,13.07
19138103,14.46,15.03,9.71,13.07
19130862,21.22,8.22,9.71,13.05
19133402,38.60,0.00,0.00,12.87
19117896,28.21,9.21,0.00,12.47
19133925,6.56,18.27,12.42,12.42
19133048,14.59,12.75,9.71,12.35
19120284,28.36,3.23,5.44,12.35
19137218,22.81,3.23,10.79,12.28
19121139,6.56,8.22,22.04,12.27
19112108,17.26,0.00,19.23,12.16
19138893,0.00,3.23,33.11,12.11
19133196,28.07,8.22,0.00,12.10
19110942,17.26,8.22,9.82,11.77
19103807,14.91,4.99,15.26,11.72
19114379,6.56,28.10,0.00,11.55
19138529,29.57,4.99,0.00,11.52
19131642,20.30,13.28,0.00,11.19
19135477,14.59,8.96,9.71,11.09
19123639,16.22,12.75,4.27,11.08
19107528,26.46,0.00,6.79,11.08
19114705,17.26,8.96,6.79,11.00
19111589,16.10,0.00,16.50,10.87
19121712,14.59,8.22,9.71,10.84
19123284,16.22,10.05,5.44,10.57
19108378,14.79,0.00,16.88,10.55
19117391,22.81,3.23,5.44,10.49
19102017,6.44,0.00,24.65,10.36
19113308,0.00,0.00,30.98,10.33
19137462,11.99,13.28,5.44,10.24
19115430,21.51,3.23,5.44,10.06
19101336,14.90,0.00,15.07,9.99
19136442,0.00,17.33,12.42,9.92
19133745,6.56,22.95,0.00,9.84
19112307,6.56,3.23,19.50,9.76
19127993,12.57,0.00,16.69,9.75
19117590,15.67,13.43,0.00,9.70
19111830,18.71,10.05,0.00,9.59
19111218,18.43,10.20,0.00,9.54
19118754,0.00,20.97,7.08,9.35
19138743,15.79,12.19,0.00,9.33
19140974,14.46,3.23,9.82,9.17
19124279,13.00,3.23,11.06,9.10
19126137,12.27,3.23,11.35,8.95
19125689,0.00,12.19,14.10,8.76
19130534,0.00,0.00,24.89,8.30
19104559,21.35,3.23,0.00,8.19
19139045,0.00,14.19,9.71,7.97
19131501,6.56,10.20,6.79,7.85
19132551,12.27,10.05,0.00,7.44
19117692,9.23,12.75,0.00,7.33
19137279,0.00,9.21,12.42,7.21
19132041,12.57,3.23,5.44,7.08
19129019,0.00,3.23,17.86,7.03
19124583,11.99,8.22,0.00,6.74
19112008,8.02,0.00,10.79,6.27
19122795,9.23,3.23,4.27,5.58
19137910,6.44,3.23,5.44,5.04
19115020,0.00,15.03,0.00,5.01
